FID,CTYUA24CD,CTYUA24NM,CTYUA24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E06000001,Hartlepool, ,447161,531473,-1.27017,54.67613,93875280.9628601,69674.5207210238,e88f5e0b-9722-41f8-8c01-10be74847756
2,E06000002,Middlesbrough, ,451141,516887,-1.211,54.54468,53858493.7863922,43640.4981051568,d8d6408f-8139-4243-958f-f1590d6b5a2a
3,E06000003,Redcar and Cleveland, ,464330,519596,-1.00657,54.56752,245176726.819321,95003.6670612435,97609a40-b83a-4d6a-a2a0-bf4d38f82081
4,E06000004,Stockton-on-Tees, ,444940,518179,-1.30665,54.55688,204921206.355103,118457.729719035,c69a1ba9-b085-443b-a203-6a20eb951984
5,E06000005,Darlington, ,428029,515648,-1.56836,54.53534,197506904.744354,105838.83497583,167f885b-cafd-4543-a54e-48cb662e86d5
6,E06000006,Halton, ,354246,382146,-2.68854,53.33425,79089911.1861954,76377.8965850911,8bcd4486-3e77-4e1c-921e-50e7b20e7453
7,E06000007,Warrington, ,362744,388457,-2.56168,53.39164,180623013.770103,111970.972523269,7260d99f-2833-4ff2-a696-84fa7d440bcb
8,E06000008,Blackburn with Darwen, ,369489,422806,-2.46362,53.70081,137062722.981293,63831.7324242496,d22a68a7-8106-42b5-bbeb-5c6eb3122952
9,E06000009,Blackpool, ,332817,436635,-3.02203,53.82164,34884310.997879,33975.3593485366,bc693069-262d-4007-ad86-bdae6998c353
10,E06000010,"Kingston upon Hull, City of", ,511892,431651,-0.30386,53.76921,71607422.3037567,63952.0925626271,1822dad2-ad5c-452b-9d57-7542235bebcf
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66196,53.88112,2404925793.06543,496332.168986682,9608159a-67e7-4c89-8b89-7fc4b03a29b2
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,192716784.039932,90918.8293091063,0edaeab9-959a-49d7-b8a7-232c677f9135
13,E06000013,North Lincolnshire, ,497800,410993,-0.52408,53.58643,846530433.721375,240837.871423774,b3644f2f-16a3-4965-b771-67d6026024be
14,E06000014,York, ,460863,452590,-1.07377,53.96583,271923655.541763,100557.418612781,b6fef84c-0d4b-49d4-a3e0-7708e3a6b51d
15,E06000015,Derby, ,435611,335375,-1.47187,52.91464,78023829.9544525,49244.2654722917,660e40d8-8f01-4d77-a06a-48536592c455
16,E06000016,Leicester, ,458946,304594,-1.13041,52.63592,73370912.1705627,50724.0088834945,65136454-11c6-4c6c-b2b6-e081e9016eec
17,E06000017,Rutland, ,492992,308655,-0.62631,52.66766,393724807.193283,120364.195872825,68b7f5f4-fb61-4bf2-967a-f983dc37672d
18,E06000018,Nottingham, ,456082,339970,-1.16668,52.9542,74617126.6348267,58022.0791648337,f2034016-9e35-4270-bb90-c4e117dab720
19,E06000019,"Herefordshire, County of", ,349434,242842,-2.73931,52.08162,2179660349.17619,338971.994278041,0f319e3f-e985-4df7-bd9a-c420b8bd7903
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.71418,290285501.656441,115814.843743415,c4e35a30-2102-4de5-9156-273f8f436f07
21,E06000021,Stoke-on-Trent, ,389438,346650,-2.15889,53.01706,93385028.2228241,62495.7936146974,17b58d0d-037a-4126-8dd4-5e1584883a56
22,E06000022,Bath and North East Somerset, ,366215,161999,-2.48657,51.35605,351203260.741306,137430.279126668,290cb582-e079-43b0-82f1-b24060d04022
23,E06000023,"Bristol, City of", ,359990,174844,-2.57742,51.47114,109615764.268772,95342.8970404329,36d9c9f0-5d51-44f2-868f-9e246efb170d
24,E06000024,North Somerset, ,347614,166718,-2.75438,51.39706,374697691.173119,148611.764611307,e3f20881-3488-46d7-8eb9-e7f65bb7b0f5
25,E06000025,South Gloucestershire, ,367556,183197,-2.46927,51.54673,497013253.655693,139884.877581108,eef5fd7f-29ce-4098-86c3-32b3eb51b29b
26,E06000026,Plymouth, ,249945,58255,-4.11298,50.40495,79839060.5608082,87533.2232382434,a321bccf-00ff-4f32-8496-bb59ce91b602
27,E06000027,Torbay, ,289730,64613,-3.55524,50.47092,62920837.4473801,72278.0892003488,d468be43-6434-4e27-a13c-9b6a864ebba2
28,E06000030,Swindon, ,418550,186565,-1.73369,51.57765,230063386.020531,100094.284357865,dbf0f04c-b9bd-42a9-acd4-3e16119bfdc3
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59215,343447071.090149,111052.871561258,da5e4256-3af9-48ca-be66-756589095778
30,E06000032,Luton, ,508606,222559,-0.4232,51.89102,43365628.8100967,34297.8060142221,13433ee4-620f-4fba-8ee0-8ffed7c7d3fb
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.54918,41654238.8044968,52178.6983188435,d8e715be-50f6-483c-8984-e39a2092610e
32,E06000034,Thurrock, ,562124,181588,0.334874,51.50996,163751781.459717,109557.147969406,5b0d00f5-7834-4139-91fc-3e83cb7c3dfc
33,E06000035,Medway, ,578207,175198,0.563174,51.44773,193617448.853569,224211.731175943,2c93cb38-8d70-4596-8439-76215e0d7c5d
34,E06000036,Bracknell Forest, ,488168,168791,-0.73365,51.4113,109325704.23568,61838.531769213,5bfab183-0176-4ed0-8be5-940931136524
35,E06000037,West Berkshire, ,450573,172095,-1.27367,51.44559,704168546.273819,163632.899530593,a3b7c2b6-90e9-4705-b9f2-defebc4ea0cc
36,E06000038,Reading, ,470223,173153,-0.99075,51.45302,40383603.7699051,38634.6471210901,41114189-07fa-4698-b53e-143116100121
37,E06000039,Slough, ,498920,179246,-0.57618,51.5035,32533677.6871414,43329.4177777712,618073d7-0f3f-4089-9591-dc8ba68281bd
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.48034,198390266.731041,113834.156517905,1ea51eb3-64d2-4c4e-b643-c1eaad03ec10
