EUBWID,label,startOfSuspension,endOfSuspension,description,comment
ukc1101-06000,Seaton Carew North,2016-06-14T17:30:00,2016-06-16T11:00:00,Bacterial contamination,Due to a blockage/pump failure in the water companies sewerage network a screened and de-gritted effluent discharge was made from the 4km long sea outfall at Seaton Carew on the 14/06/2016. Investigation samples were collected on 15/06/16. This incident and abnormal situation has now been resolved and the Environment Agency has re-instated its routine monitoring programme.
ukc1101-06100,Seaton Carew Centre,2016-06-14T17:30:00,2016-06-16T11:00:00,Bacterial contamination,Due to a blockage/pump failure in the water companies sewerage network a screened and de-gritted effluent discharge was made from the 4km long sea outfall at Seaton Carew on the 14/06/2016. Investigation samples were collected on 15/06/16. This incident and abnormal situation has now been resolved and the Environment Agency has re-instated its routine monitoring programme.
ukc1101-06200,Seaton Carew North Gare,2014-07-15T00:00:00,2014-07-17T00:00:00,Potential contamination from sewage,Sewer problems in the Cargo Fleet Area of Middlesbrough are causing periodic discharges of sewage to the Tees estuary. These discharges may present a low risk to bathing water quality at the Seaton Carew North Gare designated bathing water until the problem is resolved.  The abnormal situation at Seaton Carew North Gare ceased on the 17/07/2014 at 11:00.
ukc1101-06200,Seaton Carew North Gare,2016-06-14T17:30:00,2016-06-16T11:00:00,Bacterial contamination,Due to a blockage/pump failure in the water companies sewerage network a screened and de-gritted effluent discharge was made from the 4km long sea outfall at Seaton Carew on the 14/06/2016. Invetsigation samples were collected on 15/06/16. This incident and abnormal situation has now been resolved and the Environment Agency has re-instated its routine monitoring programme.
ukc1202-06300,Redcar Coatham,2014-07-15T00:00:00,2014-07-17T00:00:00,Potential contamination from sewage,Sewer problems in the Cargo Fleet Area of Middlesbrough are causing periodic discharges of sewage to the Tees estuary. These discharges may present a low risk to bathing water quality at the Redcar Coatham designated bathing water until the problem is resolved. The abnormal situation at Redcar Coatham ceased on the 17/07/2014 at 11:00.
ukc1202-06400,Redcar Lifeboat Station,2014-07-15T00:00:00,2014-07-17T00:00:00,Potential contamination from sewage,Sewer problems in the Cargo Fleet Area of Middlesbrough are causing periodic discharges of sewage to the Tees estuary. These discharges may present a low risk to bathing water quality at the Redcar Lifeboat Station designated bathing water until the problem is resolved.  The abnormal situation at Redcar Lifeboat Station ceased on the 17/07/2014 at 11:00.
ukc1202-06650,Marske Sands,2015-09-05T17:00:00,2015-09-10T12:00:00,Potential contamination from sewage,A blocked Combined Sewer Overflow discharged in to the Long Beck during dry weather . The Long Beck flows on to Marske Sands Bathing Water. The Local Council put signage advising the public of the incident at Marske Sands  and as a precaution at Saltburn Bathing Water. Water Quality samples results received on 10/09/15 (from samples taken on the 07/09/15) indicate that the pollution risk has passed.
ukc1202-06650,Marske Sands,2016-05-31T14:00:00,2016-06-02T09:00:00,non-bacterial contamination,The dead whale has been removed and as from 09:00 on Thursday 02/06/2016  the Environment Agency has resumed its routine water sampling at Marske Sands.
ukc1202-06700,Saltburn,2015-09-05T17:00:00,2015-09-10T12:00:00,Potential contamination from sewage,A blocked Combined Sewer Overflow discharged in to the Long Beck during dry weather . The Long Beck flows on to Marske Sands Bathing Water. The Local Council put signage advising the public of the incident at Marske Sands  and as a precaution at Saltburn Bathing Water. Water Quality samples results received on 10/09/15 (from samples taken on the 07/09/15) indicate that the pollution risk has passed.
ukc2103-04600,Blyth South Beach,2023-09-11T00:00:00,2023-09-11T23:59:00,abnormal rainfall,""
ukc2300-05500,Seaburn - Sunderland,2023-09-11T00:00:00,2023-09-11T23:59:00,abnormal rainfall,""
ukc2300-05500,Seaburn - Sunderland,2024-05-30T00:00:00,2024-05-30T23:59:00,abnormal rainfall,""
ukc2300-05600,Roker - Sunderland,2023-09-11T00:00:00,2023-09-11T23:59:00,abnormal rainfall,""
ukc2300-05600,Roker - Sunderland,2024-05-30T00:00:00,2024-05-30T23:59:00,abnormal rainfall,""
ukd1101-46300,Silloth,2015-06-29T12:02:00,2015-07-03T15:55:00,non-bacterial contamination,The abnormal situation has now finished. The Environment Agency received a report of a pollution incident which had the potential to impact upon the water quality at Silloth bathing water.
ukd1103-44800,Haverigg,2024-05-23T00:00:00,2024-05-24T23:59:00,abnormal rainfall,""
ukd1103-45200,Silecroft,2024-05-23T00:00:00,2024-05-24T23:59:00,abnormal rainfall,""
ukd1103-45600,Seascale,2024-05-23T00:00:00,2024-05-24T23:59:00,abnormal rainfall,""
ukd1103-45920,St Bees,2019-09-27T10:26:00,2019-09-28T06:09:00,sewage,""
ukd4200-42100,Blackpool South,2016-08-22T10:00:00,2016-08-24T07:00:00,Contamination from sewage,Issue at local sewage works now resolved.
ukd4200-42100,Blackpool South,2017-07-18T14:49:00,2017-07-24T15:30:00,oil or fuel,""
ukd4200-42100,Blackpool South,2023-06-12T22:45:00,2023-06-24T23:59:00,sewage,""
ukd4200-42300,Blackpool Central,2016-08-22T10:00:00,2016-08-24T07:00:00,Contamination from sewage,Issue at local sewage works now resolved.
ukd4200-42300,Blackpool Central,2017-07-18T14:55:00,2017-07-24T15:06:00,oil or fuel,""
ukd4200-42300,Blackpool Central,2022-09-02T13:00:00,2022-09-04T13:00:00,sewage,""
ukd4200-42300,Blackpool Central,2023-06-12T22:45:00,2023-06-24T23:59:00,sewage,""
ukd4200-42500,Blackpool North,2016-08-22T10:00:00,2016-08-24T07:00:00,Contamination from sewage,.Issue at local sewage works now resolved.
ukd4200-42500,Blackpool North,2017-07-18T14:55:00,2017-07-24T15:06:00,oil or fuel,""
ukd4200-42500,Blackpool North,2022-09-02T13:00:00,2022-09-04T13:00:00,sewage,""
ukd4200-42500,Blackpool North,2023-06-12T22:45:00,2023-06-24T23:59:00,sewage,""
ukd4200-42600,Bispham,2016-08-22T10:00:00,2016-08-24T07:00:00,Contamination from sewage,Issue at local sewage works now resolved.
ukd4200-42600,Bispham,2017-07-17T00:01:00,2017-07-24T15:30:00,oil or fuel,""
ukd4200-42600,Bispham,2023-06-12T22:45:00,2023-06-24T23:59:00,sewage,""
ukd4303-41800,St Annes,2016-08-22T10:00:00,2016-08-24T07:00:00,Contamination from sewage,Issue at local sewage works now resolved.
ukd4303-41800,St Annes,2023-06-12T22:45:00,2023-06-24T23:59:00,sewage,""
ukd4303-41900,St Annes North,2016-08-22T10:00:00,2016-08-24T07:00:00,Contamination from sewage,Issue at local sewage works now resolved.
ukd4303-41900,St Annes North,2023-06-12T22:45:00,2023-06-24T23:59:00,sewage,""
ukd4305-43100,Heysham Half Moon Bay,2012-05-01T00:00:00,2012-05-05T00:00:00,Potential contamination from sewage,On Friday 27th April a third party contractor investigating a brown field site accidentally drilled through a United Utilities rising main sewer on the corner of St George’s Quay and Lune Road.  United Utilities isolated the damaged section of sewer and arranged a fleet of nine tankers to collect sewage from the pumping stations and transport it to Lancaster WwTW.  Following rainfall on Monday 30th April United Utilities reported on Tuesday 1st May that they were unable to keep on top of flows and a continuous discharge of 20 l/s was being made from Riverside Pumping Station.  The repair was made by United Utilities on 5th May by replacing the damaged rising main sewer section.
ukd4305-43260,Morecambe South,2012-05-01T00:00:00,2012-05-05T00:00:00,Potential contamination from sewage,On Friday 27th April a third party contractor investigating a brown field site accidentally drilled through a United Utilities rising main sewer on the corner of St George’s Quay and Lune Road.  United Utilities isolated the damaged section of sewer and arranged a fleet of nine tankers to collect sewage from the pumping stations and transport it to Lancaster WwTW.  Following rainfall on Monday 30th April United Utilities reported on Tuesday 1st May that they were unable to keep on top of flows and a continuous discharge of 20 l/s was being made from Riverside Pumping Station.  The repair was made by United Utilities on 5th May by replacing the damaged rising main sewer section.
ukd4305-43260,Morecambe South,2012-08-30T00:00:00,2012-09-03T00:00:00,Potential contamination from sewage,The long sea outfall from Morecambe Wastewater Treatment Works operated by United Utilities is partially blocked by sand restricting the flow of treated effluent which can be made to sea.  The excess flow is being stored within storm sewage storage tanks at Schola Green Pumping Station.  These storage tanks are nearing capacity and this is resulting in elevated levels of storm sewage being discharged through the outfall serving Schola Green Pumping Station.  This has the potential to reduce the bathing water quality at Morecambe South and Morecambe North bathing waters.
ukd4305-43260,Morecambe South,2024-05-23T00:00:00,2024-05-24T23:59:00,abnormal rainfall,""
ukd4305-43550,Morecambe North,2012-05-01T00:00:00,2012-05-05T00:00:00,Potential contamination from sewage,On Friday 27th April a third party contractor investigating a brown field site accidentally drilled through a United Utilities rising main sewer on the corner of St George’s Quay and Lune Road.  United Utilities isolated the damaged section of sewer and arranged a fleet of nine tankers to collect sewage from the pumping stations and transport it to Lancaster WwTW.  Following rainfall on Monday 30th April United Utilities reported on Tuesday 1st May that they were unable to keep on top of flows and a continuous discharge of 20 l/s was being made from Riverside Pumping Station.  The repair was made by United Utilities on 5th May by replacing the damaged rising main sewer section.
ukd4305-43550,Morecambe North,2012-08-30T00:00:00,2012-09-03T00:00:00,Potential contamination from sewage,The long sea outfall from Morecambe Wastewater Treatment Works operated by United Utilities is partially blocked by sand restricting the flow of treated effluent which can be made to sea.  The excess flow is being stored within storm sewage storage tanks at Schola Green Pumping Station.  These storage tanks are nearing capacity and this is resulting in elevated levels of storm sewage being discharged through the outfall serving Schola Green Pumping Station.  This has the potential to reduce the bathing water quality at Morecambe South and Morecambe North bathing waters.
ukd4312-42800,Cleveleys,2016-08-22T10:00:00,2016-08-24T07:00:00,Contamination from sewage,Issue at local sewage works now resolved.
ukd4312-42800,Cleveleys,2017-07-17T12:31:00,2017-07-24T15:30:00,oil or fuel,""
ukd4312-42800,Cleveleys,2023-06-12T22:45:00,2023-06-24T23:59:00,sewage,""
ukd4312-43000,Fleetwood,2016-08-22T10:00:00,2016-08-24T07:00:00,Contamination from sewage,Issue at local sewage works now resolved.
ukd4312-43000,Fleetwood,2017-07-18T12:09:00,2017-07-24T15:30:00,oil or fuel,""
ukd4312-43000,Fleetwood,2023-06-12T22:45:00,2023-06-24T23:59:00,sewage,""
ukd5300-41500,Southport,2024-05-23T00:00:00,2024-05-24T23:59:00,abnormal rainfall,""
ukd5400-40750,West Kirby,2025-09-22T00:00:00,2025-09-22T23:59:00,abnormal rainfall,""
uke1200-08900,Withernsea,2020-06-15T12:04:00,2020-09-07T08:18:00,dredging or construction work,""
uke1301-09000,Cleethorpes,2019-06-12T00:00:00,2019-06-13T23:59:00,abnormal rainfall,""
uke1301-09020,Humberston Fitties,2019-06-12T00:00:00,2019-06-13T23:59:00,abnormal rainfall,""
