EUBWID,label,samplePointID,yearDesignated,yearDedesignated,district,county,country,easting,northing,lat,long,seasonStartDate,seasonFinishDate,pollutionRiskForecasting,appointedSewerageUndertaker,stepChange,stepChangeDate
ukc1101-06000,Seaton Carew North,06000,1988,"",Hartlepool,"",England,452601,530257,54.66466849885708,-1.186040311789457,2026-05-15,2026-09-30,true,Northumbrian Water Limited,"",""
ukc1101-06100,Seaton Carew Centre,06100,1988,"",Hartlepool,"",England,452950,529732,54.65991462463847,-1.180725164551955,2026-05-15,2026-09-30,true,Northumbrian Water Limited,"",""
ukc1101-06200,Seaton Carew North Gare,06200,1988,"",Hartlepool,"",England,454000,528600,54.649631926600186,-1.164659079919262,2026-05-15,2026-09-30,true,Northumbrian Water Limited,"",""
ukc1202-06300,Redcar Coatham,06300,1988,"",Redcar and Cleveland,"",England,459400,525600,54.62207042887753,-1.081591150286448,2026-05-15,2026-09-30,false,Northumbrian Water Limited,"",""
ukc1202-06400,Redcar Lifeboat Station,06400,1988,"",Redcar and Cleveland,"",England,460748,525394,54.62005944833288,-1.060760245168095,2026-05-15,2026-09-30,true,Northumbrian Water Limited,"",""
ukc1202-06500,Redcar Granville,06500,1988,"",Redcar and Cleveland,"",England,461300,525100,54.61735121010068,-1.052274439805824,2026-05-15,2026-09-30,true,Northumbrian Water Limited,"",""
ukc1202-06600,Redcar Stray,06600,1988,"",Redcar and Cleveland,"",England,462500,523800,54.60552364856422,-1.033971487256716,2026-05-15,2026-09-30,false,Northumbrian Water Limited,"",""
ukc1202-06650,Marske Sands,06650,1992,"",Redcar and Cleveland,"",England,463600,523200,54.59999555445701,-1.0170751447538,2026-05-15,2026-09-30,true,Northumbrian Water Limited,"",""
ukc1202-06700,Saltburn,06700,1988,"",Redcar and Cleveland,"",England,466677,521775,54.58679597238242,-0.969778459729026,2026-05-15,2026-09-30,true,Northumbrian Water Limited,"",""
ukc1404-05700,Seaham Hall Beach,05700,1988,"",County Durham,"",England,442380,550825,54.85044887956588,-1.341494769532371,2026-05-15,2026-09-30,true,Northumbrian Water Limited,"",""
ukc1404-05800,Seaham Beach,05800,1988,"",County Durham,"",England,442600,550500,54.84750991362038,-1.338116445554125,2026-05-15,2026-09-30,true,Northumbrian Water Limited,"",""
