ONS Region,Code,2015/16 government spend,2016/17 government spend,2017/18 government spend,2018/19 government spend,2015/16 local levy funding,2016/17 local levy funding,2017/18 local levy funding,2018/19 local levy funding,2015/16 total capital spend,2016/17 total capital spend,2017/18 total capital spend,2018/19 total capital spend
East Midlands,E12000004,"£39,532,207","£28,565,899","£37,151,478","£39,420,639","£832,216","£1,414,107","£773,104","£824,390","£40,364,424","£29,980,006","£37,924,583","£40,245,029"
East of England,E12000006,"£69,858,950","£68,444,233","£34,628,887","£30,774,232","£1,492,523","£2,599,541","£4,144,016","£3,707,919","£71,351,473","£71,043,774","£38,772,903","£34,482,151"
London,E12000007,"£16,629,344","£16,381,197","£24,502,100","£28,919,927","£1,239,444","£671,013","£1,200,722","£1,706,863","£17,868,788","£17,052,209","£25,702,822","£30,626,789"
North East,E12000001,"£15,303,281","£15,801,991","£13,745,350","£11,855,180","£1,686,207","£1,561,964","£1,327,524","£2,154,136","£16,989,487","£17,363,955","£15,072,874","£14,009,316"
North West,E12000002,"£57,006,022","£50,977,883","£71,676,347","£39,338,088","£1,181,411","£3,740,602","£2,027,685","£5,365,101","£58,187,433","£54,718,485","£73,704,032","£44,703,189"
South East,E12000008,"£71,309,531","£67,310,064","£61,571,996","£84,293,954","£2,945,619","£4,294,063","£9,133,271","£9,813,331","£74,255,150","£71,604,127","£70,705,267","£94,107,285"
South West,E12000009,"£63,861,433","£41,434,482","£50,398,725","£45,355,826","£3,178,190","£4,516,278","£2,210,183","£4,112,326","£67,039,622","£45,950,760","£52,608,908","£49,468,152"
West Midlands,E12000005,"£10,142,466","£13,477,219","£14,269,472","£15,354,286","£513,718","£1,425,587","£4,290,764","£1,365,009","£10,656,184","£14,902,806","£18,560,236","£16,719,295"
Yorkshire and the Humber,E12000003,"£72,955,880","£55,230,052","£86,667,262","£63,788,830","£2,369,782","£2,710,808","£1,849,127","£2,808,239","£75,325,661","£57,940,860","£88,516,389","£66,597,069"
National/X-boundary/small/unknown,No location,"£50,869,770","£33,076,980","£52,273,032","£44,071,205","£404,740",£0,"£476,576","£166,000","£51,274,510","£33,076,980","£52,749,607","£44,237,205"
