Upper Tier Local Authority,Code,2015/16 government spend,2016/17 government spend,2017/18 government spend,2018/19 government spend,2019/20 government spend,2020/21 government spend,2015/16 local levy funding,2016/17 local levy funding,2017/18 local levy funding,2018/19 local levy funding,2019/20 local levy funding,2020/21 local levy funding,2015/16 total capital spend,2016/17 total capital spend,2017/18 total capital spend,2018/19 total capital spend,2019/20 total capital spend,2020/21 total capital spend
Barnsley Metropolitan Borough Council,E08000016,£22,"£7,000","£316,993","£24,378","£25,000","£9,545","£25,000",£0,£0,£0,£0,£0,"£25,022","£7,000","£316,993","£24,378","£25,000","£9,545"
Bath and North East Somerset Council,E06000022,"£651,668","£6,467","£196,239","£763,495","£1,500,000","£1,000,000","£570,119","£3,095","£28,723",£0,£0,£0,"£1,221,787","£9,562","£224,962","£763,495","£1,500,000","£1,000,000"
Bedford Borough Council,E06000055,"£197,187","£2,195","£53,998","£21,056",£0,£0,"£10,136",£218,"£51,000",£0,"£50,000",£0,"£207,322","£2,412","£104,998","£21,056","£50,000",£0
Birmingham City Council,E08000025,"£4,653,974","£5,872,494","£4,761,953","£14,133,782","£11,825,941","£11,626,004","£30,063","£221,089","£2,202,660","£190,905","£600,000",£0,"£4,684,037","£6,093,583","£6,964,613","£14,324,688","£12,425,941","£11,626,004"
Blackburn with Darwen Borough Council,E06000008,"£3,186,576","£3,007,660","£1,152,677","£480,239","£782,500","£662,000","£200,000",£0,£0,£0,£0,£0,"£3,386,576","£3,007,660","£1,152,677","£480,239","£782,500","£662,000"
Blackpool Borough Council,E06000009,"£6,663,851","£5,152,781","-£1,905,000",£0,£0,£0,£0,£0,£0,£0,£0,£0,"£6,663,851","£5,152,781","-£1,905,000",£0,£0,£0
Bolton Metropolitan Borough Council,E08000001,£0,"£168,358","£278,904","£279,399","£950,000","£549,000",£0,£0,£0,£0,£0,£0,£0,"£168,358","£278,904","£279,399","£950,000","£549,000"
"Bournemouth, Christchurch and Poole Council",E06000058,"£8,303,865","£4,256,435","£3,312,318","£2,275,686","£305,000","£6,392,000","£33,336","£895,725",£0,"£240,000","£280,000","£421,000","£8,337,201","£5,152,160","£3,312,318","£2,515,686","£585,000","£6,813,000"
Bracknell Forest Council,E06000036,£0,£0,"£3,200",£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,"£3,200",£0,£0,£0
Brighton and Hove City Council,E06000043,"£333,231","£120,416",£0,"£17,000","£422,677","£456,074",£0,"£34,429","£83,000","£170,000",£0,£0,"£333,231","£154,845","£83,000","£187,000","£422,677","£456,074"
