ONS Region,Code,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
East Midlands,E12000004,3078,4638,3113,4830,4410
East of England,E12000006,3997,687.2329162,346,2079,2177
London,E12000007,2786,2729.767084,4845,3213,3475.25
North East,E12000001,1458,587,890,1108,1046
North West,E12000002,9532,9824,7242,6848,3433
South East,E12000008,10412,13588,16780,13463,13074.75
South West,E12000009,7748,1933,5502,9677,1089
West Midlands,E12000005,796,337,678,930,204
Yorkshire and the Humber,E12000003,14647,8193,6468,8606,19830
National/X-boundary/small/unknown,No location,15,0,0,0,0
