Upper Tier Local Authority,Code,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
Barnsley Metropolitan Borough Council,E08000016,8,0,0,0,17
Bath and North East Somerset Council,E06000022,0,0,0,0,0
Bedford Borough Council,E06000055,2,0,0,4,8
Birmingham City Council,E08000025,210,4,196,181,46
Blackburn with Darwen Borough Council,E06000008,0,1230,78,46,0
Blackpool Borough Council,E06000009,4852,0,0,0,0
Bolton Metropolitan Borough Council,E08000001,0,0,38,53,29
"Bournemouth, Christchurch and Poole Council",E06000058,1545,428,288,556,0
Bracknell Forest Council,E06000036,0,0,0,0,0
Brighton and Hove City Council,E06000043,0,16,5,63,8
Bristol City Council,E06000023,124,9,6,500,0
Buckinghamshire County Council,E10000002,0,26,0,245,0
Bury Metropolitan Borough Council,E08000002,0,0,47,0,0
Calderdale Metropolitan Borough Council,E08000033,32,167,5,13,0
Cambridgeshire County Council,E10000003,189,16,0,427,177
Central Bedfordshire Council,E06000056,74,0,0,0,0
Cheshire East Council,E06000049,15,0,0,0,0
Cheshire West and Chester Council,E06000050,301,62,0,0,0
City of Bradford Metropolitan District Council,E08000032,0,0,0,0,0
City of Wolverhampton Council,E08000031,0,0,0,0,0
City of York Council,E06000014,0,0,0,0,3
Cornwall Council,E06000052,10,149,54,332,456
Council of the Isles of Scilly,E06000053,0,0,0,5,0
Coventry City Council,E08000026,8,0,37,11,0
Cumbria County Council,E10000006,101,0,422,434,612
Darlington Borough Council,E06000005,0,0,0,0,0
Derby City Council,E06000015,10,0,0,0,810
Derbyshire County Council,E10000007,64,669,5,154,224
Devon County Council,E10000008,170,257,3488,4243,115
Doncaster Metropolitan Borough Council,E08000017,9,8,8,2949,0
Dorset Council,E06000059,1079,98,70,45,267
Dudley Metropolitan Borough Council,E08000027,42,0,0,0,7
Durham County Council,E06000047,170,49,8,53,286
East Riding of Yorkshire Council,E06000011,1817,7860,3308,1332,2547
East Sussex County Council,E10000011,5210,5772,5979,5239,6933
Essex County Council,E10000012,3076,98,265,177,626
Gateshead Metropolitan Borough Council,E08000037,0,12,0,0,6
