Name,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Adur District,E07000223,257,4866,4866,724,4866,4866,722,4865,4865,0.8%,15.1%,15.1%,2.3%,15.1%,15.1%,2.2%,15.1%,15.1%
Allerdale District (B),E07000026,3024,5599,5676,3025,5601,5677,3036,5624,5713,4.1%,7.6%,7.8%,4.1%,7.6%,7.8%,4.1%,7.7%,7.8%
Amber Valley District (B),E07000032,1634,2832,2845,1634,2832,2845,1632,2832,2845,2.2%,3.8%,3.8%,2.2%,3.8%,3.8%,2.2%,3.8%,3.8%
Arun District,E07000224,2655,6937,7546,2655,6937,7546,2694,8238,8845,3.0%,7.8%,8.5%,3.0%,7.8%,8.5%,3.0%,9.3%,10.0%
Ashfield District,E07000170,702,822,822,702,822,822,703,823,823,1.1%,1.3%,1.3%,1.1%,1.3%,1.3%,1.1%,1.3%,1.3%
Ashford District (B),E07000105,1079,2204,3088,1079,2205,3088,1085,2236,3116,1.4%,2.9%,4.1%,1.4%,2.9%,4.1%,1.4%,2.9%,4.1%
Aylesbury Vale District,E07000004,1561,3146,3459,2132,3973,4298,2133,3979,4298,1.4%,2.9%,3.1%,1.9%,3.6%,3.9%,1.9%,3.6%,3.9%
Babergh District,E07000200,957,1335,1342,1495,2074,2087,1495,2074,2086,1.6%,2.2%,2.2%,2.5%,3.4%,3.5%,2.5%,3.4%,3.4%
Barking and Dagenham London Boro,E09000002,446,5214,10939,468,5646,11956,1357,6278,11954,0.5%,6.0%,12.7%,0.5%,6.5%,13.9%,1.6%,7.3%,13.9%
Barnet London Boro,E09000003,1986,3254,3431,1483,2302,3560,1483,2302,3560,1.2%,2.0%,2.1%,0.9%,1.4%,2.2%,0.9%,1.4%,2.2%
Barnsley District (B),E08000016,1134,1539,1572,1147,1555,1588,1145,1554,1587,0.9%,1.2%,1.2%,0.9%,1.2%,1.2%,0.9%,1.2%,1.2%
Barrow-in-Furness District (B),E07000027,1331,1764,1786,1331,1764,1786,1303,1764,1786,3.3%,4.4%,4.5%,3.3%,4.4%,4.5%,3.3%,4.4%,4.5%
Basildon District (B),E07000066,355,903,1032,397,947,1094,415,1018,1269,0.4%,1.0%,1.1%,0.4%,1.0%,1.2%,0.5%,1.1%,1.4%
Basingstoke and Deane District (B),E07000084,1636,1866,1866,1716,1956,1956,1733,2095,2095,1.8%,2.0%,2.0%,1.9%,2.1%,2.1%,1.9%,2.3%,2.3%
Bassetlaw District,E07000171,3724,5895,5901,3724,5895,5901,3722,5895,5901,5.3%,8.4%,8.4%,5.3%,8.4%,8.4%,5.3%,8.4%,8.4%
Bath and North East Somerset,E06000022,4756,6867,6878,4814,6917,6917,4812,6919,6919,4.5%,6.6%,6.6%,4.6%,6.6%,6.6%,4.6%,6.6%,6.6%
Bedford (B),E06000055,1139,2762,2921,1154,2777,2939,1486,3139,3302,1.2%,3.0%,3.2%,1.3%,3.0%,3.2%,1.6%,3.4%,3.6%
Bexley London Boro,E09000004,745,856,14285,1007,1153,14605,1005,1153,14605,0.7%,0.8%,13.2%,0.9%,1.1%,13.5%,0.9%,1.1%,13.5%
Birmingham District (B),E08000025,9476,13390,14152,9965,13624,14386,9969,13616,14383,1.8%,2.6%,2.7%,1.9%,2.6%,2.8%,1.9%,2.6%,2.8%
Blaby District,E07000129,812,1039,1039,1308,1676,1676,1394,1792,1792,1.7%,2.1%,2.1%,2.7%,3.4%,3.4%,2.8%,3.7%,3.7%
Blackburn with Darwen (B),E06000008,1729,2984,2984,1839,2897,2897,1840,2897,2897,2.3%,4.0%,4.0%,2.5%,3.9%,3.9%,2.5%,3.9%,3.9%
Blackpool (B),E06000009,673,4041,5778,607,3922,5687,607,3919,5687,0.8%,4.6%,6.5%,0.7%,4.4%,6.4%,0.7%,4.4%,6.4%
Bolsover District,E07000033,335,415,419,335,415,419,335,415,419,0.8%,0.9%,1.0%,0.8%,0.9%,1.0%,0.8%,0.9%,1.0%
Bolton District (B),E08000001,1992,2559,2580,1995,3039,3060,2047,3167,3197,1.4%,1.8%,1.8%,1.4%,2.1%,2.1%,1.4%,2.2%,2.2%
Boston District (B),E07000136,12547,38580,38584,12548,38583,38587,12550,38583,38587,30.8%,94.8%,94.8%,30.8%,94.8%,94.8%,30.8%,94.8%,94.8%
"Bournemouth, Christchurch and Poole",E06000058,2480,5800,5857,2481,5803,5860,2484,5805,5862,1.2%,2.7%,2.7%,1.2%,2.7%,2.8%,1.2%,2.7%,2.8%
Bracknell Forest (B),E06000036,1185,1560,1560,1185,1560,1560,1184,1559,1559,2.1%,2.7%,2.7%,2.1%,2.7%,2.7%,2.1%,2.7%,2.7%
Bradford District (B),E08000032,4943,7227,7327,4943,7227,7327,4954,7228,7327,1.9%,2.8%,2.8%,1.9%,2.8%,2.8%,1.9%,2.8%,2.8%
Braintree District,E07000067,1595,2332,2478,1697,2445,2591,1697,2446,2591,1.7%,2.5%,2.7%,1.8%,2.7%,2.8%,1.8%,2.7%,2.8%
Breckland District,E07000143,694,829,831,747,931,933,1101,1347,1380,0.8%,0.9%,0.9%,0.8%,1.0%,1.0%,1.2%,1.5%,1.5%
Brent London Boro,E09000005,3316,4466,4479,3316,4466,4479,3295,4466,4479,2.5%,3.3%,3.3%,2.5%,3.3%,3.3%,2.5%,3.3%,3.3%
Brentwood District (B),E07000068,665,745,745,666,746,746,668,746,746,1.5%,1.7%,1.7%,1.5%,1.7%,1.7%,1.6%,1.7%,1.7%
Broadland District,E07000144,1271,1872,1881,1279,2021,2030,1313,2113,2202,1.6%,2.4%,2.4%,1.6%,2.6%,2.6%,1.7%,2.7%,2.8%
Bromley London Boro,E09000006,4599,6505,6505,4962,6986,6986,4967,6986,6986,2.9%,4.2%,4.2%,3.2%,4.5%,4.5%,3.2%,4.5%,4.5%
Bromsgrove District,E07000234,1184,1235,1235,1185,1237,1237,1183,1237,1237,2.1%,2.2%,2.2%,2.1%,2.2%,2.2%,2.1%,2.2%,2.2%
Broxbourne District (B),E07000095,1306,5405,6294,1306,5405,6294,1343,5405,6294,2.8%,11.7%,13.6%,2.8%,11.7%,13.6%,2.9%,11.7%,13.6%
Broxtowe District (B),E07000172,1343,8615,9090,1343,8615,9090,1340,8612,9090,2.3%,14.9%,15.8%,2.3%,14.9%,15.8%,2.3%,14.9%,15.8%
Burnley District (B),E07000117,476,1993,1993,454,1908,1908,801,1929,1908,1.0%,4.1%,4.1%,0.9%,4.0%,4.0%,1.7%,4.0%,4.0%
Bury District (B),E08000002,1568,2463,2586,1457,2235,3636,1504,2254,3636,1.6%,2.5%,2.6%,1.5%,2.3%,3.7%,1.5%,2.3%,3.7%
Calderdale District (B),E08000033,7435,8971,8982,7438,8973,8984,7440,9080,9091,6.1%,7.4%,7.4%,6.1%,7.4%,7.4%,6.1%,7.5%,7.5%
Cambridge District (B),E07000008,1427,1814,1828,1439,1823,1837,1439,1823,1837,2.2%,2.7%,2.8%,2.2%,2.8%,2.8%,2.2%,2.8%,2.8%
Camden London Boro,E09000007,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Cannock Chase District,E07000192,492,520,520,579,607,607,579,607,607,1.0%,1.0%,1.0%,1.1%,1.2%,1.2%,1.1%,1.2%,1.2%
Canterbury District (B),E07000106,5812,9629,10249,5933,9913,10534,5926,9914,10534,6.7%,11.2%,11.9%,6.9%,11.5%,12.2%,6.9%,11.5%,12.2%
Carlisle District (B),E07000028,1830,8111,8132,1831,8112,8133,1873,8410,8431,2.4%,10.8%,10.9%,2.4%,10.8%,10.9%,2.5%,11.2%,11.3%
Castle Point District (B),E07000069,63,166,20450,132,563,20901,133,563,20901,0.1%,0.4%,43.8%,0.3%,1.2%,44.7%,0.3%,1.2%,44.7%
Central Bedfordshire,E06000056,1482,2291,2593,1491,2300,2602,1525,2496,2641,1.0%,1.5%,1.8%,1.0%,1.6%,1.8%,1.0%,1.7%,1.8%
Charnwood District (B),E07000130,6288,9898,9898,6301,9988,9988,6313,10058,10058,6.4%,10.1%,10.1%,6.4%,10.2%,10.2%,6.5%,10.3%,10.3%
Chelmsford District (B),E07000070,1990,3583,3897,1991,4521,4901,1999,4560,4938,2.1%,3.7%,4.1%,2.1%,4.7%,5.1%,2.1%,4.8%,5.2%
Cheltenham District (B),E07000078,1815,2332,2332,1818,2342,2342,1821,2395,2399,2.7%,3.5%,3.5%,2.7%,3.5%,3.5%,2.7%,3.6%,3.6%
Cherwell District,E07000177,1402,2564,3051,1401,2566,3052,1401,2564,3052,1.6%,3.0%,3.5%,1.6%,3.0%,3.5%,1.6%,3.0%,3.5%
Cheshire East (B),E06000049,2429,4121,4173,2689,4087,4139,3041,4575,4654,1.1%,1.8%,1.8%,1.2%,1.8%,1.8%,1.3%,2.0%,2.0%
Cheshire West and Chester (B),E06000050,1262,4393,5011,1878,4401,4814,1953,4493,4906,0.6%,2.2%,2.5%,0.9%,2.2%,2.4%,1.0%,2.2%,2.4%
