Area,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Barnsley,E08000016,1134,1539,1572,1147,1555,1588,1145,1554,1587,0.9%,1.2%,1.2%,0.9%,1.2%,1.2%,0.9%,1.2%,1.2%
Bath and North East Somerset,E06000022,4756,6867,6878,4814,6917,6917,4812,6919,6919,4.5%,6.6%,6.6%,4.6%,6.6%,6.6%,4.6%,6.6%,6.6%
Bedford,E06000055,1139,2762,2921,1154,2777,2939,1486,3139,3302,1.2%,3.0%,3.2%,1.3%,3.0%,3.2%,1.6%,3.4%,3.6%
Birmingham,E08000025,9476,13390,14152,9965,13624,14386,9969,13616,14383,1.8%,2.6%,2.7%,1.9%,2.6%,2.8%,1.9%,2.6%,2.8%
Blackburn with Darwen,E06000008,1729,2984,2984,1839,2897,2897,1840,2897,2897,2.3%,4.0%,4.0%,2.5%,3.9%,3.9%,2.5%,3.9%,3.9%
Blackpool,E06000009,673,4041,5778,607,3922,5687,607,3919,5687,0.8%,4.6%,6.5%,0.7%,4.4%,6.4%,0.7%,4.4%,6.4%
Bolton,E08000001,1992,2559,2580,1995,3039,3060,2047,3167,3197,1.4%,1.8%,1.8%,1.4%,2.1%,2.1%,1.4%,2.2%,2.2%
"Bournemouth, Christchurch and Poole",E06000058,2480,5800,5857,2481,5803,5860,2484,5805,5862,1.2%,2.7%,2.7%,1.2%,2.7%,2.8%,1.2%,2.7%,2.8%
Bracknell Forest,E06000036,1185,1560,1560,1185,1560,1560,1184,1559,1559,2.1%,2.7%,2.7%,2.1%,2.7%,2.7%,2.1%,2.7%,2.7%
Brighton and Hove,E06000043,1332,1443,1443,1331,1443,1443,1318,1404,1404,0.8%,0.9%,0.9%,0.8%,0.9%,0.9%,0.8%,0.9%,0.9%
"Bristol, City of",E06000023,3537,15279,15808,3524,14235,14764,3536,14307,14839,1.5%,6.5%,6.8%,1.5%,6.1%,6.3%,1.5%,6.1%,6.3%
Buckinghamshire,E10000002,5088,9317,9912,5890,11341,12027,6822,11798,12474,1.7%,3.2%,3.4%,2.0%,3.9%,4.1%,2.3%,4.0%,4.3%
Bury,E08000002,1568,2463,2586,1457,2235,3636,1504,2254,3636,1.6%,2.5%,2.6%,1.5%,2.3%,3.7%,1.5%,2.3%,3.7%
Calderdale,E08000033,7435,8971,8982,7438,8973,8984,7440,9080,9091,6.1%,7.4%,7.4%,6.1%,7.4%,7.4%,6.1%,7.5%,7.5%
Cambridgeshire,E10000003,31431,41418,46632,31541,41534,46748,34392,46425,51768,8.1%,10.7%,12.0%,8.1%,10.7%,12.1%,8.9%,12.0%,13.4%
Central Bedfordshire,E06000056,1482,2291,2593,1491,2300,2602,1525,2496,2641,1.0%,1.5%,1.8%,1.0%,1.6%,1.8%,1.0%,1.7%,1.8%
Cheshire East,E06000049,2429,4121,4173,2689,4087,4139,3041,4575,4654,1.1%,1.8%,1.8%,1.2%,1.8%,1.8%,1.3%,2.0%,2.0%
Cheshire West and Chester,E06000050,1262,4393,5011,1878,4401,4814,1953,4493,4906,0.6%,2.2%,2.5%,0.9%,2.2%,2.4%,1.0%,2.2%,2.4%
Bradford,E08000032,4943,7227,7327,4943,7227,7327,4954,7228,7327,1.9%,2.8%,2.8%,1.9%,2.8%,2.8%,1.9%,2.8%,2.8%
Wolverhampton,E08000031,1408,1839,1839,1646,2457,2457,1755,2509,2509,1.1%,1.5%,1.5%,1.3%,2.0%,2.0%,1.4%,2.0%,2.0%
York,E06000014,3334,7671,7678,3399,8193,8200,3345,8193,8200,3.1%,7.0%,7.0%,3.1%,7.5%,7.5%,3.1%,7.5%,7.5%
Cornwall,E06000052,12901,16168,16559,12908,16182,16585,12907,16193,16601,3.1%,3.9%,4.0%,3.1%,3.9%,4.0%,3.1%,3.9%,4.0%
