Constituency,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Aldershot Boro Const,E14000530,832,3360,3458,834,3360,3458,845,3386,3498,1.7%,6.7%,6.9%,1.7%,6.7%,6.9%,1.7%,6.8%,7.0%
Aldridge-Brownhills Boro Const,E14000531,215,250,250,215,250,250,215,250,250,0.6%,0.7%,0.7%,0.6%,0.7%,0.7%,0.6%,0.7%,0.7%
Altrincham and Sale West Boro Const,E14000532,445,1031,1198,445,1124,1167,446,1124,1167,0.9%,2.1%,2.5%,0.9%,2.3%,2.4%,0.9%,2.3%,2.4%
Amber Valley Co Const,E14000533,821,1121,1121,821,1121,1121,819,1121,1121,1.6%,2.2%,2.2%,1.6%,2.2%,2.2%,1.6%,2.2%,2.2%
Arundel and South Downs Co Const,E14000534,1650,2217,2217,1752,2319,2319,1749,2329,2329,2.4%,3.3%,3.3%,2.6%,3.4%,3.4%,2.6%,3.5%,3.5%
Ashfield Co Const,E14000535,232,273,273,232,273,273,231,273,273,0.4%,0.5%,0.5%,0.4%,0.5%,0.5%,0.4%,0.5%,0.5%
Ashford Co Const,E14000536,865,1986,2813,865,1987,2813,871,2018,2841,1.2%,2.8%,3.9%,1.2%,2.8%,3.9%,1.2%,2.8%,4.0%
Ashton-under-Lyne Boro Const,E14000537,89,89,89,89,89,89,89,89,89,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%
Aylesbury Co Const,E14000538,810,2212,2525,1339,2976,3301,1340,2982,3301,1.3%,3.7%,4.2%,2.2%,4.9%,5.5%,2.2%,5.0%,5.5%
Banbury Co Const,E14000539,1079,1837,2216,1078,1839,2217,1078,1837,2217,1.5%,2.6%,3.1%,1.5%,2.6%,3.1%,1.5%,2.6%,3.1%
Barking Boro Const,E14000540,419,5034,10130,443,5468,11146,1332,6101,11144,0.7%,9.0%,18.1%,0.8%,9.8%,19.9%,2.4%,10.9%,19.9%
Barnsley Central Boro Const,E14000541,204,387,387,204,387,387,204,387,387,0.4%,0.8%,0.8%,0.4%,0.8%,0.8%,0.4%,0.8%,0.8%
Barnsley East Co Const,E14000542,741,883,916,754,899,932,753,898,931,1.5%,1.8%,1.9%,1.6%,1.9%,1.9%,1.6%,1.9%,1.9%
Barrow and Furness Co Const,E14000543,2572,3799,3884,2749,4050,4138,2721,4050,4138,4.6%,6.8%,6.9%,4.9%,7.2%,7.4%,4.9%,7.2%,7.4%
Basildon and Billericay Boro Const,E14000544,218,296,312,218,296,312,233,335,358,0.4%,0.6%,0.6%,0.4%,0.6%,0.6%,0.5%,0.7%,0.7%
Basingstoke Boro Const,E14000545,738,847,847,737,847,847,739,847,847,1.4%,1.6%,1.6%,1.4%,1.6%,1.6%,1.4%,1.6%,1.6%
Bassetlaw Co Const,E14000546,2891,4786,4792,2891,4786,4792,2890,4786,4792,4.7%,7.7%,7.7%,4.7%,7.7%,7.7%,4.7%,7.7%,7.7%
Bath Boro Const,E14000547,3846,5757,5757,3848,5757,5757,3844,5757,5757,7.6%,11.4%,11.4%,7.7%,11.4%,11.4%,7.6%,11.4%,11.4%
Batley and Spen Boro Const,E14000548,1443,1738,1739,1441,1738,1739,1489,1760,1760,2.6%,3.2%,3.2%,2.6%,3.2%,3.2%,2.7%,3.2%,3.2%
Battersea Boro Const,E14000549,89,879,33150,89,879,33150,89,879,33150,0.2%,1.5%,56.1%,0.2%,1.5%,56.1%,0.2%,1.5%,56.1%
Beaconsfield Co Const,E14000550,2223,3777,4055,2299,4106,4463,2405,4204,4560,4.0%,6.7%,7.2%,4.1%,7.3%,7.9%,4.3%,7.5%,8.1%
Beckenham Boro Const,E14000551,2123,2645,2645,2123,2645,2645,2123,2645,2645,4.9%,6.1%,6.1%,4.9%,6.1%,6.1%,4.9%,6.1%,6.1%
Bedford Boro Const,E14000552,497,1653,1653,512,1668,1671,512,1668,1671,0.9%,3.1%,3.1%,1.0%,3.1%,3.1%,1.0%,3.1%,3.1%
Bermondsey and Old Southwark Boro Const,E14000553,23,23,72658,23,23,72658,23,23,72658,0.0%,0.0%,96.3%,0.0%,0.0%,96.3%,0.0%,0.0%,96.3%
Berwick-upon-Tweed Co Const,E14000554,1253,1964,1967,1252,1969,1979,1255,1969,1979,2.0%,3.1%,3.1%,2.0%,3.1%,3.1%,2.0%,3.1%,3.1%
Bethnal Green and Bow Boro Const,E14000555,183,340,356,183,340,356,183,340,356,0.2%,0.5%,0.5%,0.2%,0.5%,0.5%,0.2%,0.5%,0.5%
