OBJECTID,NAME,CODE,AREA,GRID_REF,EASTING,NORTHING,LATITUDE,LONGITUDE,NAME0,STATUS,ID,FILE,AREA0,EASTING0,NORTHING0,GIS_DATE,VERSION,Shape__Area,Shape__Length,GlobalID
1,Pevensey Levels,UK11053,3585.38170474,TQ647076,564719.938638,107652.289202,50:51:18N,0:20:18E,,Listed,0,,3585.38170474,564719.938638,107652.289202,20100518,1,35853817.0474625,64175.1415742706,f691adfe-9972-4b95-bbc2-b28ab6657032
2,Rostherne Mere,UK11060,79.762009773204,SJ744842,374417.569454,384214.977129,53:21:15N,2:23:08W,,Listed,0,,76.0240004911185,374405.27684,384241.755028,20031203,1,760240.00491333,6344.91281747819,af657e03-95fc-41e2-87d9-b17d50289dee
3,Rostherne Mere,UK11060,79.762009773204,SJ744842,374417.569454,384214.977129,53:21:15N,2:23:08W,,Listed,0,,3.50488427750384,374689.307352,383667.685012,20031203,1,35048.842880249,943.044604118609,60ba9424-fc18-4aa6-8d48-2b99b2ce2af2
4,Rostherne Mere,UK11060,79.762009773204,SJ744842,374417.569454,384214.977129,53:21:15N,2:23:08W,,Listed,0,,0.2331250045817,374340.888734,383710.66638,20031203,1,2331.25003051758,256.500237040178,c7faf56e-f3d8-4855-864a-abbc2711f475
5,Abberton Reservoir,UK11001,718.311748726494,TL973179,597307.20044,217935.89897,51:50:29N,0:52:17E,,Listed,0,,546.064728425343,597961.652117,218266.480603,20031211,1,5460647.28427887,16061.71031591,bce04c02-2539-4cdd-939e-b679585aecf3
6,Abberton Reservoir,UK11001,718.311748726494,TL973179,597307.20044,217935.89897,51:50:29N,0:52:17E,,Listed,0,,105.531383397197,595654.746738,216991.566538,20031211,1,1055313.83396912,4437.22688964694,30e9ff23-fc4d-4c9c-9f66-12439d509f7c
7,Abberton Reservoir,UK11001,718.311748726494,TL973179,597307.20044,217935.89897,51:50:29N,0:52:17E,,Listed,0,,66.7156369039539,594564.406386,216723.855358,20031211,1,667156.369132996,4137.11899725064,33dce624-8ae2-4519-9743-c1261a251fdd
8,Benfleet and Southend Marshes,UK11006,2283.96548061,TQ861842,586186.664333,184208.999074,51:32:26N,0:41:02E,,Listed,0,,2240.61414568,586215.278828,184202.970671,20080410,1,22406141.4563751,55830.411361006,045cc71e-cc70-4ed5-ab57-e051c1a2945f
9,Benfleet and Southend Marshes,UK11006,2283.96548061,TQ861842,586186.664333,184208.999074,51:32:26N,0:41:02E,,Listed,0,,26.331533055901,579393.277694,185749.809538,20080410,1,263315.33052063,4021.4621712222,e84ccd6d-636f-47c1-a3e0-a8ca269b6db6
10,Benfleet and Southend Marshes,UK11006,2283.96548061,TQ861842,586186.664333,184208.999074,51:32:26N,0:41:02E,,Listed,0,,17.0198018759183,592929.765302,182618.817446,20080410,1,170198.018753052,1713.9916072062,dbebe149-a96f-4c99-a7a1-bdc4870e8a57
11,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,2672.5327911,597544.363,209879.7681,20060329,1,26725327.910881,146012.85376274,85e5df0a-c656-4543-9365-0631c9774f6e
12,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,810.558093387306,588776.7423,205130.3494,20060329,1,8105580.93401337,49615.161717691,2d92bf91-c49c-482c-97df-4904902bba8a
13,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,454.784260727921,593323.9718,204822.4207,20060329,1,4547842.60731506,34335.3183511252,ac8d2436-0b63-48e8-802f-4af808eb5fdf
14,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,137.87756536735,598367.487137,207399.405581,20060329,1,1378775.65378571,9760.51533855628,f0ca62a9-5660-4f3c-8bbb-68212a4d8f97
15,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,65.9046045487347,589278.678862,205889.223916,20060329,1,659046.045471191,3973.07591965845,1257bf94-b3e9-4f86-8fa3-1cc1ca6715a0
16,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,48.7115381451284,598573.433452,211010.564193,20060329,1,487115.381530762,5744.88850509662,c873b36c-409e-41eb-a194-8257f21019f4
17,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,46.0595563218196,595225.656695,207292.191762,20060329,1,460595.563362122,4161.11859152798,1c2d3541-965d-48c3-b72e-e311452190bb
18,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,44.7740110922121,591617.476107,207336.671941,20060329,1,447740.110946655,4819.64822156577,d9803055-0f97-409b-81a5-0df72dfe5326
19,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,44.0949796631021,600252.908006,212020.793003,20060329,1,440949.796730042,3584.97804262696,4855fabf-0005-4b8a-8644-6ea4c4b2ad93
20,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,18.4302419761088,593440.314819,207099.157808,20060329,1,184302.419784546,2208.97285941627,85b35a00-878c-4bde-aeef-3438e7124a46
21,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,15.888521660255,599835.9787,208865.6619,20060329,1,158885.216659546,3093.9388904726,f1ce237e-bb63-4f1e-a4a4-082b9f5f5349
22,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,9.91863767746882,599843.427381,212465.212915,20060329,1,99186.3768386841,2415.24678912869,4d94b96c-b0d3-4e8a-a0e1-3f945bc7c341
23,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,8.22987741240639,591982.397048,205079.743741,20060329,1,82298.7741088867,1420.00467238997,be6e5ca1-f895-4499-9084-6cf82903cd83
24,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,6.83772713701713,593644.650843,207206.462028,20060329,1,68377.2713546753,1390.22042622674,774d50bb-9838-4542-a7a4-e3261844e331
25,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,3.01416568733326,588027.834109,207348.881478,20060329,1,30141.6568832397,765.60796116022,52cc4392-c3b4-4e68-ba0a-67c4c788393f
26,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,2.64513057845632,587466.242829,206749.029226,20060329,1,26451.3057327271,1065.65169104317,804c0342-63cf-4efa-9073-537882b9a464
27,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,2.6089306932827,590842.763304,207079.476524,20060329,1,26089.3069458008,746.497288040103,b1b776ab-5af2-4b1b-9a63-cf9b5bb5a030
28,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,1.94274377403012,590468.285769,206880.586786,20060329,1,19427.4377212524,661.204415498617,6bd187c0-2e61-4d36-99d4-8d8b72a70ff4
29,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,1.51640779161514,592247.894881,205176.338286,20060329,1,15164.0778884888,738.740291898929,28b41439-33aa-4373-9d5b-bf0fcff6e5d0
30,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,1.32821632746752,599341.697414,207899.338915,20060329,1,13282.1632843018,479.394332096903,a563e978-f833-4902-9bc0-253fdb4803fe
31,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,1.00190871535655,587175.772188,206222.068157,20060329,1,10019.0871276855,579.946384753503,1ab7a03c-4280-4cab-91ba-7c88e211dcd7
