FID,AreaServed,ID,COMPANY,Acronym,CoType,AreaType,WARNINGS,Shape__Area,Shape__Length
1,Hafren Dyfrdwy,8,Hafren Dyfrdwy,HDD,regional water and sewerage company,Whole water supply area, ,2854802700.66678,521082.591184918
2,Severn Trent,15,Severn Trent Water,SVE,regional water and sewerage company,Part of water supply area, ,17507096742.7535,1803302.74679651
3,Wessex,35,Wessex Water,WSX,regional water and sewerage company,Whole water supply area, ,7345820238.97378,1110354.4154324
4,Medway,27,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,451947707.035866,568880.124864193
5,Bristol,6,South West Water,SWB,regional water only company,Whole water supply area, ,2391188450.3462,438539.718201126
6,Guildford,31,Thames Water,TMS,regional water and sewerage company,Part of water supply area, ,371429340.15435,119249.97568103
7,Suffolk,11,Northumbrian Water,NES,regional water and sewerage company,Part of water supply area, ,1345943150.09052,360560.142882985
8,Tendring Hundred (Brett),2,Affinity Water,AFW,regional water only company,Part of water supply area, ,352091485.879913,501691.359679689
9,Kent & Sussex,16,South East Water,SEW,regional water only company,Part of water supply area, ,4074776705.90952,573294.428048744
10,Folkestone (Dour),1,Affinity Water,AFW,regional water only company,Part of water supply area, ,412285590.623535,184191.912622317
11,Hampshire,24,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,1717774945.52359,436579.776541219
12,Cambridge,18,South Staffordshire Water,SSC,regional water only company,Part of water supply area, ,1172206250.72185,303092.745161732
13,Isle of Wight,26,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,380213048.135788,175666.802127215
14,Hastings,25,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,160988071.8424,89965.7813693626
15,Southern,17,South East Water,SEW,regional water only company,Part of water supply area, ,1487234323.52577,289048.940707385
16,Yorkshire,36,Yorkshire Water,YKY,regional water and sewerage company,Whole water supply area, ,14311804738.5591,898885.186353834
17,Portsmouth,13,Portsmouth Water,PRT,regional water only company,Whole water supply area, ,863694725.648556,472814.063323913
18,Three Valleys,3,Affinity Water,AFW,regional water only company,Part of water supply area, ,3716141007.78786,631082.174080379
19,Fawley,21,South West Water,SWB,regional water and sewerage company,Part of water supply area, ,10021823.986908,91761.084188098
20,South West,23,South West Water,SWB,regional water and sewerage company,Part of water supply area, ,10301984693.1339,1755577.56788683
21,United Utilities,34,United Utilities,UUW,regional water and sewerage company,Whole water supply area, ,14094987707.8403,2225608.51060425
22,Thanet,29,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,342524376.925903,149564.920527456
23,DÅµr Cymru,7,DÅµr Cymru,WSH,regional water and sewerage company,Whole water supply area, ,20139522181.7722,2796532.71219961
24,Isles of Scilly,22,South West Water,SWB,regional water and sewerage company,Part of water supply area, ,16354639.7008839,112412.833454428
25,Bournemouth,20,South West Water,SWB,regional water and sewerage company,Part of water supply area, ,1046470103.06179,314084.360506274
26,Essex,9,Northumbrian Water,NES,regional water and sewerage company,Part of water supply area, ,1536164815.53026,999245.931382406
27,Sussex,28,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,1298216782.68294,348345.912406183
28,Veolia,209,Veolia Water Projects Ltd,VWS,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,27650405.1777649,26624.1201726687
29,Anglian,4,Anglian Water,ANH,regional water and sewerage company,Part of water supply area, ,22593880928.602,3174416.15323593
30,Hartlepool,5,Anglian Water,ANH,regional water and sewerage company,Part of water supply area, ,89409411.4729156,82365.3034605275
31,Northumbria,10,Northumbrian Water,NES,regional water and sewerage company,Part of water supply area, ,8874970745.09108,935460.879811907
32,South Staffordshire,19,South Staffordshire Water,SSC,regional water only company,Part of water supply area, ,1496916578.19761,431088.963075587
33,Chester,14,Severn Trent Water,SVE,regional water and sewerage company,Part of water supply area, ,174976192.089073,90149.3364815005
34,SWOX plus,33,Thames Water,TMS,regional water and sewerage company,Part of water supply area, ,6209472326.12528,757223.281641293
35,Sutton & East Surrey,30,SES Water,SES,regional water only company,Whole water supply area, ,837221564.657135,198056.686767214
36,London,32,Thames Water,TMS,regional water and sewerage company,Part of water supply area, ,1421281923.95797,372513.184035645
37,"Croston Road (Phase 1 and 2), Leyland",263,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,179137.332122803,2226.2149762826
38,"Firbeck Colliery, Worksop",275,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,124741.594390869,2069.71394117984
39,Hatfield Lane,300,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,344367.083236694,3414.89569936466
40,"Newcomen Way (Phase 2), Telford",345,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,8278.75076293945,441.245505944305
41,"Rockferry, Woodhey",371,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,44303.5750350952,875.72666705833
42,"Sovereign Fold Road, Leigh",380,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,27264.3929443359,846.775634046499
43,"Topcliffe Road, Sowerby",401,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,48599.3493652344,966.819961354791
44,Westwood Thanet Boundary Variation,417,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,3379.9654006958,235.791536739414
45,"Wheatley Hall Road, Doncaster",421,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,56816.7843170166,1085.63023858225
46,"Yardley Road, Milton Keynes",433,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,354409.923316956,2787.77403751418
47,"CITU, Climate Innovation District Phase 2, Leeds",254,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,16083.9082183838,514.431406525406
48,Liverpool John Lennon Airport,323,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,2045011.3459549,9698.0740272839
49,"Former Horwich Locomotive Works, Bolton",282,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,159923.508804321,2219.26015127012
50,"Appletree Farm, Cressing",215,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,52685.6720352173,1058.53719271194
51,"Broad Oak Farm, Sturry",236,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,183465.618583679,2771.15916961264
52,"Cedars Park 3C, Stowmarket",249,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,27050.2013702393,758.207736708029
53,"Eastrea Road, Whittlesey",269,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,46909.2838897705,1034.03972620168
54,"Foxby Lane, Gainsborough",284,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,192259.98324585,2387.98122141714
55,"Land at Camp Field, Havant",316,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,23003.4782791138,952.869486564522
56,"Land West of Bedford Road, Lower Stondon",321,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,30745.1374893188,724.282951457757
57,"Little Tufts, Ipswich",322,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,50545.2464599609,956.671717662887
58,"Manor Farm, Bedhampton",332,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,36340.927116394,790.39859761525
59,"Merlins Point, Witham St Hughs",336,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,62153.3938446045,1142.86867726628
60,"Newark Road, Peterborough",344,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,23150.2933197021,652.948378296924
61,"Nightingale Road, Derby",347,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,83530.6193389893,1339.42576617777
